country,GDP per Captia,Population Dentacy ,Total alcohol consumption per capita,Suacide Rate,continate,Death from smoking,"Drug legalization Medical   (1-yes , 0- no)","compulsory Military ( 1- yes, 0- no)",Covid 19 - Cases (20.3.2021),Covid 19 -Death (20.3.2021)
Afghanistan,1976,56.9378,0.2,4.7,ASIA,9241.251,0,0,56044,1462
Albania,12943,104.612,7.2,6.3,EUROPE,4161.156,0,1,119528,2106
Angola,6658,24.7131,6.9,4.7,AFRICA,8810.717,0,1,21558,522
Argentina,20829,16.2585,9.7,9.2,LATIN AMER,51911.52,1,0,22265753,54386
Armenia,9668,103.68,5.5,6.6,ASIA,4871.944,0,1,181165,3301
Australia,49378,3.24913,10.5,13.2,OCEANIA,25764.18,1,0,29183,909
Austria,53879,107.207,12,15.6,EUROPE,21559.35,1,1,504581,8982
Azerbaijan,17450,120.265,4.4,2.6,ASIA,12216.66,0,1,203424,3314
Bangladesh,3877,1239.58,0,5.9,ASIA,90795.06,0,0,564939,8624
Barbados,18559,666.607,9.7,0.8,LATIN AMER,167.9684,1,0,3492,39
Belarus,18896,46.7288,11.4,26.2,ASIA,21496.83,0,1,306524,2130
Belgium,49367,377.215,11.1,20.7,EUROPE,20077.5,1,0,822801,22624
Belize,8525,16.794,6.2,4.7,LATIN AMER,127.3457,0,0,12399,316
Benin,2276,101.854,2.8,9.9,AFRICA,1983.632,0,1,6501,81
Bhutan,9392,19.7775,0.4,11.4,ASIA,296.2937,0,0,868,1
Bosnia and Herzegovina,13108,64.9205,7.2,8.8,EUROPE,8482.647,0,0,149891,5729
Botswana,17024,3.97743,6.6,9.3,AFRICA,901.3209,0,0,35493,458
Brazil,15553,25.0617,7.4,6.5,LATIN AMER,167657.3,1,1,11780820,287499
Bulgaria,20948,64.7035,12.7,11.5,EUROPE,20300.55,0,0,295777,11817
Burkina Faso,1866,72.1913,12,7.7,AFRICA,3335.304,0,0,12450,145
Cambodia,4018,92.0564,6.6,5.3,ASIA,12676.73,0,1,1578,1
Cameroon,3722,53.344,5.7,12.2,AFRICA,5243.707,0,0,40622,601
Canada,46510,4.07531,8.9,12.5,AFRICA,49362.38,1,0,928283,22576
Central African Republic,727,7.49041,2.4,7.7,AFRICA,2509.357,0,0,5075,64
Chad,1945,12.2917,1.4,8.8,AFRICA,1657.959,0,1,4380,157
Chile,24747,25.1895,9.1,10.6,LATIN AMER,10405.16,1,1,911469,21988
China,16842,148.349,7,9.7,ASIA,2197653,0,1,101481,4839
Colombia,14503,44.7487,5.7,7.2,LATIN AMER,19433.68,1,1,2319293,61636
Croatia,26296,73.0772,9.2,16.5,EUROPE,9340.339,1,0,254279,5726
Cuba,8821,109,5.8,13.9,LATIN AMER,18457.32,0,1,64414,384
Cyprus,36012,128.708,10.8,5.3,EUROPE,1492.22,1,1,41111,241
Dominican Republic,16064,219.979,6.7,9.9,LATIN AMER,7726.071,0,0,247979,3257
Ecuador,11612,68.7887,4.2,7.1,LATIN AMER,4721.521,1,0,307429,16333
El Salvador,8023,309.882,3.9,13.7,LATIN AMER,2218.899,0,1,62631,1962
Estonia,33448,30.3861,9.2,17.8,EUROPE,2160.762,0,1,91031,758
Ethiopia,1903,109.225,2.4,7.2,AFRICA,9462.559,0,1,181869,2602
Fiji,9575,48.357,3.3,5,OCEANIA,885.5265,0,0,67,2
Finland,46344,18.1569,10.8,15.9,EUROPE,5638.936,0,0,69479,805
France,44033,122.338,12.3,17.7,EUROPE,79002.38,1,0,4241973,91833
Gabon,18113,8.22476,8.7,7.1,AFRICA,645.2545,0,0,17297,105
Georgia,10674,65.2752,8.3,8.2,ASIA,6798.576,0,1,276436,3674
Germany,52556,237.371,12.9,13.6,EUROPE,141530.8,1,0,2639258,74402
Ghana,4502,130.821,2.8,5.4,AFRICA,5839.357,0,0,88421,705
Greece,28583,83.2247,10.2,5,EUROPE,24401.28,1,1,230317,7297
Guatemala,8168,160.954,2.5,2.7,LATIN AMER,3768.877,0,0,185832,6639
Guinea,2247,50.5222,1.1,6.3,AFRICA,2275.049,0,1,18285,106
Guinea-Bissau,1704,66.654,5.4,4,AFRICA,318.8683,0,1,3518,54
Guyana,8180,3.95735,6.9,29.2,LATIN AMER,412.0556,1,0,9442,212
Honduras,4997,85.687,3.8,2.9,LATIN AMER,3974.177,0,0,180796,4402
Hungary,28799,107.907,11.3,19.1,EUROPE,24006.58,0,0,139080,17628
Iceland,55322,3.52692,9.1,14,EUROPE,322.9597,0,0,6091,29
India,7166,454.938,5.5,16.3,ASIA,894371.5,0,0,11514331,159370
Indonesia,12310,147.752,0.6,3.4,ASIA,227477.4,0,0,1443853,39142
Iraq,16935,88.5306,0.4,3,ASIA,11420.09,0,0,779458,13896
Ireland,76745,70.453,12.9,11.5,EUROPE,5694.098,1,0,228796,4566
Israel,38868,410.527,4.2,5.4,ASIA,6092.147,1,1,825562,6069
Italy,40924,205.451,7.8,8.2,EUROPE,84848.16,1,0,3306711,103855
Jamaica,9066,270.993,4.2,2.2,LATIN AMER,2157.55,1,0,33366,511
Japan,42067,347.074,8,18.5,ASIA,200016,0,0,452147,8750
Jordan,9173,112.143,0.7,2.9,ASIA,3337.479,0,0,514107,5627
Kazakhstan,26491,6.76983,4.8,22.5,ASIA,20075.43,0,1,279220,3199
Kenya,3292,90.2994,2.8,3.2,AFRICA,9780.153,0,0,117535,1954
Kuwait,72096,232.172,0,2.3,ASIA,1074.331,0,0,215067,1202
Latvia,28362,30.9833,12.8,21.2,EUROPE,4123.169,0,0,95902,181
Lebanon,14513,669.494,1.7,3.3,ASIA,6405.711,1,0,430734,5609
Lesotho,2932,69.4378,4.4,21.2,AFRICA,1852.832,0,0,10530,309
Liberia,1285,50.0309,6.1,6.8,AFRICA,927.9646,0,0,2042,85
Libya,19673,3.79563,0,5.2,AFRICA,2751.851,0,0,149107,2435
Lithuania,33253,44.5314,13.2,31.9,EUROPE,5641.805,1,0,207469,3442
Luxembourg,107641,250.094,12.9,13.5,EUROPE,670.8616,1,0,58674,705
Madagascar,1558,45.1399,2,3.9,AFRICA,5820.852,0,0,21999,338
Malawi,1205,192.441,3.6,3.7,AFRICA,3825.579,1,0,33045,1091
Malaysia,29511,95.9628,0.8,5.5,ASIA,23650.09,0,0,328466,1223
Maldives,16688,1718.99,2.2,2.3,ASIA,170.4936,0,0,22147,64
Mali,2218,15.635,1.3,4.8,AFRICA,2594.436,0,1,9118,366
Malta,40797,1511.03,8,7.5,EUROPE,627.1903,1,0,27525,363
Mauritania,3958,4.27216,0,4.4,AFRICA,526.5809,0,0,17542,445
Mauritius,22356,623.302,4.3,7.8,AFRICA,1125.891,0,0,768,10
Mexico,18656,64.9146,5,5.1,LATIN AMER,51575.45,0,1,2182188,196606
Mongolia,12946,2.04061,8.2,13,ASIA,2933.948,0,1,4658,4
Montenegro,19355,46.271,11.5,10.3,EUROPE,1723.681,0,0,58774,1178
Morocco,8225,80.7285,0.7,2.9,AFRICA,18401.83,0,1,490575,8748
Mozambique,1250,37.5085,2.3,4.9,AFRICA,9799.24,0,1,65452,737
Myanmar,6174,82.2386,5.1,7.8,ASIA,68091.87,0,0,142122,3204
Namibia,10471,2.97375,5.4,8.7,AFRICA,1148.136,0,0,41684,483
Nepal,2702,195.939,2,8.8,ASIA,23557.88,0,0,275625,3015
Netherlands,54422,511.458,9.6,12.6,EUROPE,30790.93,1,0,1196045,16332
New Zealand,40748,18.5542,10.6,12.1,OCEANIA,4204.823,1,0,2444,26
Niger,1019,17.7177,0.7,4.6,AFRICA,1614.27,0,1,4906,185
Nigeria,5887,215.065,10.8,9.5,AFRICA,13479.01,0,0,161409,2027
Norway,62183,14.5549,7.4,12.2,EUROPE,5898.262,1,1,84553,648
Oman,41331,15.6042,0.8,3.9,ASIA,921.5834,0,0,149135,1620
Pakistan,5539,275.289,0.3,2.9,ASIA,128588.5,0,0,619259,13757
Panama,24521,56.1861,8,4.3,CENTRAL AMERICA,1541.894,0,0,349505,6025
Philippines,8361,357.688,6.9,3.2,ASIA,93737.16,1,0,640984,12887
Portugal,32554,112.24,12,14,EUROPE,11869.45,1,1,816055,167173
Qatar,128647,239.593,1.6,6.6,ASIA,277.0562,0,1,172200,270
Romania,26660,84.6399,11.7,10.4,EUROPE,40499.03,0,0,881159,21877
Singapore,94105,7953,2,9.9,ASIA,2400.196,0,1,60152,30
Slovenia,36387,102.64,11.9,18.6,EUROPE,2962.842,0,0,203544,3951
Somalia,314,23.9235,0,4.7,AFRICA,4876.435,0,1,9600,392
South Africa,13526,47.6301,9.5,11.6,AFRICA,29919.66,1,0,1533961,51724
Spain,39037,93.5291,12.7,8.7,EUROPE,63968.59,0,0,3212332,72910
Sweden,51405,25.001,8.9,14.8,EUROPE,13193.95,1,1,738537,13236
Switzerland,66307,215.521,11.5,17.2,EUROPE,9671.171,1,1,578861,10183
Turkey,28002,106.96,2,7.3,ASIA,77090.42,0,1,2950603,29777
Vietnam,6790,308.125,8.7,7.3,ASIA,86358.1,0,1,2570,35
